"ACS-2901-RM-23=23 inch rack mount kit for Cisco 2901 ISR",ACS-2901-RM-23=,0882658279508,"ACS-2901-RM-23=23 inch rack mount kit for Cisco 2901 ISR",,£115.96 ,"Senetic|Cisco|Cisco Routers|2900 Series|Cisco 2900 Series Options & Spares"
"2911-BEZEL=Cisco 2911 Front Bezel (Replacement Plastic Bezel)",2911-BEZEL=,,"2911-BEZEL=Cisco 2911 Front Bezel (Replacement Plastic Bezel)",,£77.31 ,"Senetic|Cisco|Cisco Routers|2900 Series|Cisco 2900 Series Options & Spares"
"HWIC-BLANKBlank faceplate for HWIC slot on Cisco ISR",HWIC-BLANK,,"HWIC-BLANKBlank faceplate for HWIC slot on Cisco ISR",,£38.65 ,"Senetic|Cisco|Cisco Routers|2900 Series|Cisco 2900 Series Options & Spares"
"SM-SLOT-DIVIDER=SM Slot Divider (Guide) for Cisco 2900, 3900, 4400 ISR",SM-SLOT-DIVIDER=,0882658279577,"SM-SLOT-DIVIDER=SM Slot Divider (Guide) for Cisco 2900, 3900, 4400 ISR",,£38.65 ,"Senetic|Cisco|Cisco Routers|2900 Series|Cisco 2900 Series Options & Spares"
"SM-BLANK-KIT=Blank SM faceplate with divider for Cisco 2900,3900,4400",SM-BLANK-KIT=,0882658293856,"SM-BLANK-KIT=Blank SM faceplate with divider for Cisco 2900,3900,4400",,£77.31 ,"Senetic|Cisco|Cisco Routers|2900 Series|Cisco 2900 Series Options & Spares"
"2911-AIRCVTR-NEBS=Cisco 2911 Front-to-Back Air Flow converter for NEBS use",2911-AIRCVTR-NEBS=,,"2911-AIRCVTR-NEBS=Cisco 2911 Front-to-Back Air Flow converter for NEBS use",,£115.96 ,"Senetic|Cisco|Cisco Routers|2900 Series|Cisco 2900 Series Options & Spares"
"2911-FANFLTR-NEBS=Cisco 2911 Fan Filter for NEBS environment",2911-FANFLTR-NEBS=,0882658278334,"2911-FANFLTR-NEBS=Cisco 2911 Fan Filter for NEBS environment",,£115.96 ,"Senetic|Cisco|Cisco Routers|2900 Series|Cisco 2900 Series Options & Spares"
"2921-51-FANASSY-2=Cisco 2921/2951 Fan Assembly and Bezel",2921-51-FANASSY-2=,0882658376597,"2921-51-FANASSY-2=Cisco 2921/2951 Fan Assembly and Bezel",,£154.61 ,"Senetic|Cisco|Cisco Routers|2900 Series|Cisco 2900 Series Options & Spares"
"CAB-HD8-ASYNC=High Density 8-port EIA-232 Async Cable",CAB-HD8-ASYNC=,746320920221,"CAB-HD8-ASYNC=High Density 8-port EIA-232 Async Cable",https://www.senetic.co.uk/i/norm/high/638002-5557.jpg,£57.98 ,"Senetic|Cisco|Cisco Routers|2900 Series|Cisco 2900 Series Cables"
"CAB-E1-RJ45BNC=E1 Cable RJ45 to dual BNC (unbalanced), Spare",CAB-E1-RJ45BNC=,0746320029320,"            <table class=""product_specs"">
            
                                    <tr><td colspan=""2"" style=""text-align: center;background:#dddddd;"">
                                            <b>Features</b>
                                    </td></tr>
                                    <tr style=""background: #eeeeee"">
<td style=""width: 300px;"">Cable length
                                             <img src=""https://www.senetic.co.uk/gfx/help_new.png"" alt=""How long the cable is."" title=""How long the cable is."" style=""vertical-align:middle;"">
                                    </td>
<td>
                                                                                                        3
                                                                     m
                                                                                                                        </td>
            </tr>
                                                                <tr><td colspan=""2"" style=""text-align: center;background:#dddddd;"">
                                            <b>Technical details</b>
                                    </td></tr>
                                    <tr style=""background: #ffffff"">
<td style=""width: 300px;"">Cable colour
                                             <img src=""https://www.senetic.co.uk/gfx/help_new.png"" alt=""Colour of the cable e.g. white, gray."" title=""Colour of the cable e.g. white, gray."" style=""vertical-align:middle;"">
                                    </td>
<td>
                                                                                                        Black
                                                                     
                                                                                                                        </td>
            </tr>
                                                                <tr><td colspan=""2"" style=""text-align: center;background:#dddddd;"">
                                            <b>Other features</b>
                                    </td></tr>
                                    <tr style=""background: #eeeeee"">
<td style=""width: 300px;"">Quantity per box
                                             <img src=""https://www.senetic.co.uk/gfx/help_new.png"" alt=""Number of products per box."" title=""Number of products per box."" style=""vertical-align:middle;"">
                                    </td>
<td>
                                                                                                        1
                                                                     pc(s)
                                                                                                                        </td>
            </tr>
                                                <tr style=""background: #ffffff"">
<td style=""width: 300px;"">I/O ports
                                             <img src=""https://www.senetic.co.uk/gfx/help_new.png"" alt=""An interface on a device to which you can connect another device."" title=""An interface on a device to which you can connect another device."" style=""vertical-align:middle;"">
                                    </td>
<td>
                                                                                                        1 x RJ45\n2 x BNC
                                                                     
                                                                                                                        </td>
            </tr>
                                                                                </table>
        <div class=""clearer""></div>
    <br>
",https://www.senetic.co.uk/i/norm/high/2479389-9666.jpg|https://www.senetic.co.uk//i/gallery/2479389-9666.jpg,£38.65 ,"Senetic|Cisco|Cisco Routers|2900 Series|Cisco 2900 Series Cables"
"CAB-HD4-232FC=High Density 4-port EIA-232 Cable, Female, DCE",CAB-HD4-232FC=,0746320920207,"CAB-HD4-232FC=High Density 4-port EIA-232 Cable, Female, DCE",https://www.senetic.co.uk/i/norm/high/592226-2973.jpg,£115.96 ,"Senetic|Cisco|Cisco Routers|2900 Series|Cisco 2900 Series Cables"
"CAB-AUX-RJ45=Auxiliary Cable 8ft with RJ45 and DB25M",CAB-AUX-RJ45=,4053162282704,"CAB-AUX-RJ45=Auxiliary Cable 8ft with RJ45 and DB25M",https://www.senetic.co.uk/i/norm/high/5378729-148.jpg,£11.59 ,"Senetic|Cisco|Cisco Routers|2900 Series|Cisco 2900 Series Cables"
"CAB-232MTRS-232 Cable, DTE, Male, 10 Feet",CAB-232MT,,"            <table class=""product_specs"">
            
                                    <tr><td colspan=""2"" style=""text-align: center;background:#dddddd;"">
                                            <b>Technical details</b>
                                    </td></tr>
                                    <tr style=""background: #eeeeee"">
<td style=""width: 300px;"">Cable length
                                             <img src=""https://www.senetic.co.uk/gfx/help_new.png"" alt=""How long the cable is."" title=""How long the cable is."" style=""vertical-align:middle;"">
                                    </td>
<td>
                                                                                                        3.04
                                                                     m
                                                                                                                        </td>
            </tr>
                                                <tr style=""background: #ffffff"">
<td style=""width: 300px;"">Connector 1
                                             <img src=""https://www.senetic.co.uk/gfx/help_new.png"" alt=""This is the first connector in the device."" title=""This is the first connector in the device."" style=""vertical-align:middle;"">
                                    </td>
<td>
                                                                                                        DB-60
                                                                     
                                                                                                                        </td>
            </tr>
                                                <tr style=""background: #eeeeee"">
<td style=""width: 300px;"">Connector 2
                                             <img src=""https://www.senetic.co.uk/gfx/help_new.png"" alt=""This is the second connector in the device."" title=""This is the second connector in the device."" style=""vertical-align:middle;"">
                                    </td>
<td>
                                                                                                        DB-30
                                                                     
                                                                                                                        </td>
            </tr>
                                                <tr style=""background: #ffffff"">
<td style=""width: 300px;"">Compatible products
                                             <img src=""https://www.senetic.co.uk/gfx/help_new.png"" alt=""Other products that can be used with this product."" title=""Other products that can be used with this product."" style=""vertical-align:middle;"">
                                    </td>
<td>
                                                                                                        Cisco 7000 family, 4000 series, 3600 series 2500 series, 1600 series
                                                                     
                                                                                                                        </td>
            </tr>
                                                                                </table>
        <div class=""clearer""></div>
    <br>
",https://www.senetic.co.uk/i/norm/high/21995761_9005390174.jpg|https://www.senetic.co.uk//i/gallery/21995761_9005390174.jpg,£38.65 ,"Senetic|Cisco|Cisco IP Phones|Cables for WIC"
